Date,Open,High,Low,Close,Volume,label
2014-03-27,28.4,28.4,27.646,27.923,261040,27.0475
2014-03-28,28.06,28.3215,27.9335,27.9995,820060,26.53
2014-03-31,28.3445,28.35,27.8465,27.8485,215440,26.626
2014-04-01,27.9355,28.4225,27.9355,28.358,158640,26.822
2014-04-02,29.9995,30.2415,28.1095,28.35,2933940,27.827
2014-04-03,28.4925,29.364,28.2065,28.487,101750000,26.805
2014-04-04,28.7325,28.8885,27.15,27.157,127552000,26.431
2014-04-07,27.037,27.424,26.3575,26.9075,87374340,26.7405
2014-04-08,27.1535,27.75,27.0805,27.745,62971260,26.347
2014-04-09,27.9885,28.2685,27.6475,28.207,66471580,26.258
2014-04-10,28.2495,28.25,26.995,27.0475,80542260,25.809
2014-04-11,26.625,27.0,26.3265,26.53,78312940,25.8575
2014-04-14,26.887,27.205,26.478,26.626,51307820,26.385
2014-04-15,26.841,26.9225,25.923,26.822,76925340,26.333
2014-04-16,27.15,27.85,27.0,27.827,97394900,26.5675
2014-04-17,27.4405,27.475,26.5575,26.805,135851860,26.3965
2014-04-21,26.805,26.835,26.28,26.431,51198480,26.3905
2014-04-22,26.432,26.8615,26.3755,26.7405,47179860,25.757
2014-04-23,26.6895,26.6935,26.3125,26.347,40997740,25.498
2014-04-24,26.4985,26.5825,26.106,26.258,37587520,25.55
2014-04-25,26.1255,26.235,25.771,25.809,41939940,25.9365
2014-04-28,25.8775,25.93,25.14,25.8575,66511300,26.496
2014-04-29,25.8455,26.473,25.816,26.385,53836980,26.6545
2014-04-30,26.38,26.4,26.126,26.333,34928100,26.3325
2014-05-01,26.3575,26.6465,26.194,26.5675,38008220,25.999
2014-05-02,26.688,26.7,26.2805,26.3965,33696220,26.0315
2014-05-05,26.2365,26.445,26.066,26.3905,20426020,26.443
2014-05-06,26.2615,26.3405,25.753,25.757,32948700,26.4885
2014-05-07,25.7895,25.834,25.165,25.498,64315620,26.947
2014-05-08,25.4205,25.8615,25.3225,25.55,40315380,27.253
2014-05-09,25.5375,25.995,25.21,25.9365,48653420,27.635
2014-05-12,26.1755,26.5095,25.9505,26.496,38150240,28.2975
2014-05-13,26.5445,26.8035,26.4755,26.6545,32963340,28.084
2014-05-14,26.65,26.65,26.2645,26.3325,23835080,28.004
2014-05-15,26.285,26.2935,25.871,25.999,34043340,27.9945
2014-05-16,26.0695,26.09,25.772,26.0315,29624860,27.6965
2014-05-19,25.985,26.489,25.879,26.443,25524240,27.247
2014-05-20,26.487,26.8115,26.315,26.4885,35597560,27.233
2014-05-21,26.645,26.959,26.5955,26.947,23860740,27.695
2014-05-22,27.0565,27.38,27.039,27.253,32228160,27.8165
2014-05-23,27.363,27.682,27.185,27.635,38586560,28.106
2014-05-27,27.8,28.3,27.7175,28.2975,41996740,28.0275
2014-05-28,28.2285,28.392,28.05,28.084,32952600,27.942
2014-05-29,28.1735,28.2,27.9355,28.004,27011520,27.5675
2014-05-30,28.04,28.0675,27.7955,27.9945,35324240,27.588
2014-06-02,28.035,28.045,27.2865,27.6965,28699280,27.214
2014-06-03,27.5325,27.617,27.1275,27.247,37235140,27.1505
2014-06-04,27.075,27.4305,26.9375,27.233,36233660,27.6685
2014-06-05,27.281,27.7475,27.2225,27.695,33691680,27.745
2014-06-06,27.903,27.903,27.4465,27.8165,34644600,27.818
2014-06-09,27.8495,28.145,27.802,28.106,30515320,28.2475
2014-06-10,28.0255,28.18,27.895,28.0275,26988000,28.231
2014-06-11,27.9,27.994,27.751,27.942,21943200,28.9325
2014-06-12,27.8815,27.8995,27.423,27.5675,29123900,28.8
2014-06-13,27.6125,27.615,27.278,27.588,24343020,28.862
2014-06-16,27.463,27.481,27.076,27.214,34078940,28.764
2014-06-17,27.21,27.266,26.9665,27.1505,28916300,29.1335
2014-06-18,27.243,27.678,27.2,27.6685,34742260,29.117
2014-06-19,27.712,27.75,27.4255,27.745,49026160,29.2365
2014-06-20,27.8445,27.879,27.5195,27.818,89932240,29.1125
2014-06-23,27.75,28.25,27.7125,28.2475,30685240,28.5545
2014-06-24,28.2595,28.6325,28.0505,28.231,44034880,28.804
2014-06-25,28.263,28.998,28.261,28.9325,39283940,28.555
2014-06-26,29.05,29.1225,28.5925,28.8,34735200,28.959
2014-06-27,28.859,28.9935,28.69,28.862,44620540,29.2435
2014-06-30,28.933,28.9785,28.7375,28.764,26217660,29.239
2014-07-01,28.916,29.22,28.8325,29.1335,28924880,29.133
2014-07-02,29.1675,29.272,29.0195,29.117,21098000,28.6865
2014-07-03,29.1675,29.2505,29.046,29.2365,14244200,29.754
2014-07-07,29.188,29.3215,28.9795,29.1125,21234660,29.4735
2014-07-08,28.883,28.9765,28.307,28.5545,38171640,29.737
2014-07-09,28.579,28.836,28.469,28.804,22278140,29.799
2014-07-10,28.2955,28.8295,28.2505,28.555,27062160,29.6675
